Code,Name,Description,DesignWeight,DesignQuestion,OperationalWeight,OperationalQuestion,DesignChoice1,DesignChoice2,DesignChoice3,DesignChoice4,DesignChoice5,OperationalChoice1,OperationalChoice2,OperationalChoice3,OperationalChoice4,OperationalChoice5
E.DEC,Decisions are made in an appropriate manner based on users' consent,"Making decisions in an appropriate manner based on users' consent is an important aspect of data protection and privacy. User consent is typically required for the collection, processing, and sharing of personal data, and organizations must ensure that decisions are made based on the user's explicit and informed consent.

To ensure that decisions are made in an appropriate manner based on users' consent, organizations must implement measures such as:

Consent management: Organizations must implement consent management mechanisms that enable users to provide their consent for the collection, processing, and sharing of their personal data. These mechanisms should be clear, accessible, and easy to use, and should provide users with the ability to withdraw their consent at any time.

Consent verification: Organizations must verify that users have provided their consent before collecting, processing, or sharing their personal data. This may involve implementing technical measures such as pop-up consent forms or user authentication processes.

Consent auditing: Organizations must maintain a record of user consent for the collection, processing, and sharing of personal data, and must be able to provide evidence of user consent upon request.

Data minimization: Organizations must ensure that they only collect and process the personal data that is necessary for the specific purpose for which the user has provided their consent.",1,,1,,No Data Protection Impact Assessment (DPIA) has been developed,A Data Protection Impact Assessment (DPIA) has been developed,"A Data Protection Impact Assessment (DPIA) has been developed, and customers awareness of automated decision-making.",,,Decisions do not follow GDPR guidelines.,The system satisfies Article 29 Guidelines and the limitation provided by Article 22 of the GDPR,,,
RES.IFP,EIDS Internet face protection,"EIDS (Electronic Identity System) Internet face protection refers to the use of measures to protect the privacy and security of individuals when using electronic identity systems, particularly those that involve facial recognition technology. Facial recognition technology is used in various applications, such as access control, authentication, and identity verification, but it also poses privacy and security risks if not properly implemented.",1,,1,,No provision for patches management processes.,Patches are not managed in a rigorous manner.,,,,,,,,
RES.SPE,Internal EIDS security processes enforced,"Enforcing internal EIDS (Electronic Identity System) security processes is critical for ensuring the privacy and security of personal data collected and processed through these systems. Internal EIDS security processes refer to the policies, procedures, and controls put in place by an organization to protect the confidentiality, integrity, and availability of personal data.",1,,1,,No security process has been planned.,Security process with actions and milestones has been planned.,"Complete security process has been designed, including consideration about architecture and third-party security.",,,Security process are not enforced or verified.,"Security process are enforced and verified, according to defined SLAs.",,,
RES.BD,Back up and Disaster Recovery Plans,"Back up and Disaster Recovery Plans (BDR plans) are critical for ensuring the availability and integrity of data and systems in the event of a disaster, such as a natural disaster, cyber-attack, or hardware failure. BDR plans involve implementing procedures and protocols for backing up data and systems, and for recovering them in the event of an outage or disaster.",1,,1,,No plans for backup and disaster recovery.,Provision for BCR/DR Plan(s) and Business Impact Assessment (BIA),"Provision for alternate storage site, system backup and alternative security and communication protocols",,,Plans are missing or not tested.,Plans are tested but without clear thresholds.,"Plans are tested, with clear objectives, covering all critical systems and data.",,
RES.CR,Cyber resilience strategy in place,"A cyber resilience strategy is a set of policies, procedures, and controls designed to prevent, detect, respond to, and recover from cyber attacks or incidents. It is essential for organizations to have a cyber resilience strategy in place to ensure that they can continue to operate effectively and securely in the face of cyber threats.",1,,1,,No cyber resilience strategy in place.,"Cyber resilience strategy in place, without considering stakeholders’ priorities and adversaries’ TTPs.","Complete cyber resilience strategy in place, considering stakeholders’ priorities and adversaries’ TTPs.",,,Recovering time not within risk threshold or not evaluated.,Recovering time within risk threshold.,,,
RES.BPDC,Demonstrate balance between preventive and detective controls,"Demonstrating a balance between preventive and detective controls is critical for ensuring the effectiveness and efficiency of a cybersecurity program. Preventive controls are designed to prevent cyber attacks and incidents from occurring, while detective controls are designed to detect and respond to cyber attacks and incidents that have already occurred.",1,,1,,"No provision for assets inventory, service access monitoring, or SoD rules","Provision for assets inventory, service access monitoring and SoD rules",,,,"No monitoring of preventive and detective controls, or SoD rules","Monitoring of preventive and detective controls, and SoD rules",,,
RES.RS,Reaction to Security incidents against the EIDS,"Reacting to security incidents against the EIDS (Electronic Identity System) is critical for minimizing the impact of the incident and preventing similar incidents from occurring in the future. Security incidents may include data breaches, cyber attacks, system failures, or unauthorized access to personal data.

To react to security incidents against the EIDS, organizations can implement the following measures:

Incident response plan: Organizations should have an incident response plan in place that outlines procedures for responding to security incidents, including procedures for containing and mitigating the impact of the incident.

Incident investigation: Organizations should investigate the security incident to determine the cause and extent of the incident, and to identify any vulnerabilities or weaknesses in the EIDS that may have contributed to the incident.

Notification and reporting: Organizations should notify the appropriate stakeholders, such as users and regulatory authorities, of the security incident, and provide regular updates on the incident as it progresses.

Remediation and recovery: Organizations should implement remediation and recovery measures to address the vulnerabilities or weaknesses identified in the EIDS and to restore the system to a secure and stable state.",1,,1,,No provision for incident response controls and IR Plans.,Provision for incident response controls and IR Plans.,,,,"Incident controls, policies and monitoring not deployed.","Incident controls and policies are deployed, but not monitored or tested.","Incident controls, policies and monitoring are deployed and tested.",,
RES.IDR,ID recovery,"ID recovery typically refers to the process of regaining access to a personal account or service when a user has lost or forgotten their credentials. The process of ID recovery can vary depending on the specific service or platform involved. Generally, the user will be prompted to enter their email address or username to begin the recovery process. This may involve answering security questions, providing personal information, or confirming ownership of the account through a verification code sent to a registered phone number or email address. Once the user has successfully completed the ID recovery process, they can regain access to their account and resume using the service or platform as before.",1,,1,,No policies in place to recover lost or forgotten ID/passwords,Policies in place to recover lost or forgotten ID/passwords,,,,No password enforcement rules are deployed.,Password enforcement rules are deployed.,,,
REL.SUS,Streamlined user contact points and processes ,"Streamlined user contact points and processes refer to designing a system or platform that allows users to easily and efficiently communicate with the relevant support teams or customer service representatives. The goal is to create a seamless and hassle-free experience for the user, minimizing the time and effort required to get in touch with the support team and resolve any issues or concerns.",1,,1,,"No provision for Customer Due diligence (CDD) obligations, policies and guidelines.",Provision for Customer Due diligence (CDD) policies and guidelines.,,,,No Customer Due diligence (CDD) obligations imposed.,"RBA47 present to using DID for citizen identification, verification & authentication.",,,
REL.AL,EIDS sufficient Assurance Levels against Fraud risks ,"EIDS (Electronic Identity) sufficient assurance levels refer to the level of confidence or assurance that an electronic identity system has in the authenticity of a user's identity. The higher the level of assurance, the more confident the system is that the user is who they claim to be. This is particularly important in protecting against fraud risks, where a user may attempt to impersonate another user or create a fake identity to gain unauthorized access.

There are typically four levels of assurance in EIDS:

Level 1 - Low Assurance: This level of assurance provides a low degree of confidence in the user's identity. It may involve basic username and password authentication, which can be easily compromised by fraudsters.

Level 2 - Medium Assurance: This level of assurance provides a moderate degree of confidence in the user's identity. It may involve additional authentication factors, such as a security question or a one-time password sent to a registered phone number or email address.

Level 3 - Substantial Assurance: This level of assurance provides a high degree of confidence in the user's identity. It may involve in-person identity verification, such as presenting a government-issued ID card or passport.

Level 4 - High Assurance: This level of assurance provides the highest degree of confidence in the user's identity. It may involve multiple forms of identity verification, such as biometric authentication (e.g. fingerprint or facial recognition) and in-person identity verification.

By implementing EIDS with sufficient assurance levels, organizations can better protect against fraud risks and ensure that only authorized users are granted access to sensitive information or services. However, it's important to balance the level of assurance with user experience, as overly burdensome authentication processes can lead to user frustration and abandonment of the service.",1,,1,,,,,,,,,,,
REL.GA,Government approved audits ,"Government approved audits refer to audits that are conducted by auditors who are authorized or approved by government bodies to assess the compliance of organizations with regulatory requirements and industry standards. These audits are typically conducted to ensure that organizations are meeting their legal and regulatory obligations, as well as to identify any areas of non-compliance or risk.

To conduct government approved audits, auditors must meet certain requirements and qualifications, such as being certified or accredited by a government-approved organization or holding relevant professional qualifications. Auditors may also be subject to ongoing training and monitoring to ensure that they maintain their competence and adhere to ethical standards.",1,,1,,,,,,,,,,,
REL.EAS,Evidence of assurance assessment ,"Evidence of assurance assessment refers to the documentation and results of assessments conducted to provide assurance that an organization's processes, systems, and controls are functioning effectively and in accordance with relevant standards or regulations.

To provide evidence of assurance assessment, organizations may conduct internal or external assessments, such as risk assessments, compliance assessments, or security assessments, and document the results of these assessments. The documentation may include reports, certificates, or other evidence of compliance or assurance.",1,,1,,No provision for quality assurance program for audits.,Provision for quality assurance program for internal audits.,"Provision for quality assurance program for internal, external and automated audits.",,,,,,,
REL.HUT,Handling unexpected termination and unexpected actions ,"Handling unexpected termination and unexpected actions is critical for ensuring the security and integrity of an organization's data and systems. Unexpected termination refers to the sudden departure of an employee, contractor, or vendor, or software component, while unexpected actions refer to actions taken.",1,,1,,"No provision for error-handling, monitoring and exceptions logging.","Provision for error-handling, monitoring and exceptions logging.",,,,No error-handling mechanisms deployed.,Error-handling mechanisms deployed.,,,
